"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 15 23:01:44 EEST 2022","Mon Aug 15 23:01:47 EEST 2022","2858","Default Suite","SeleniumBase","src.tests.PlayTest","src.tests.PlayTest","test","test",""
"passed","Mon Aug 15 23:48:34 EEST 2022","Mon Aug 15 23:48:35 EEST 2022","1461","Suite","Test","tests.PlayTest","tests.PlayTest","test","test",""
